번호,대수,의원명,정당,소속위원회,지역,성별,당선횟수,당선방법
96,제22대,박덕흠,국민의힘,행정안전위원회,충북 보은군옥천군영동군괴산군,남,4선,지역구
97,제22대,박민규,더불어민주당,정무위원회,서울 관악구갑,남,초선,지역구
98,제22대,박범계,더불어민주당,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 교육위원회",대전 서구을,남,4선,지역구
99,제22대,박상웅,국민의힘,"예산결산특별위원회, 행정안전위원회",경남 밀양시의령군함안군창녕군,남,초선,지역구
100,제22대,박상혁,더불어민주당,정무위원회,경기 김포시을,남,재선,지역구
101,제22대,박선원,더불어민주당,"국방위원회, 정보위원회",인천 부평구을,남,초선,지역구
102,제22대,박성민,국민의힘,산업통상자원중소벤처기업위원회,울산 중구,남,재선,지역구
103,제22대,박성준,더불어민주당,외교통일위원회,서울 중구성동구을,남,재선,지역구
104,제22대,박성훈,국민의힘,정무위원회,부산 북구을,남,초선,지역구
105,제22대,박수민,국민의힘,"연금개혁 특별위원회, 제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 기후에너지환경노동위원회",서울 강남구을,남,초선,지역구
106,제22대,박수영,국민의힘,"재정경제기획위원회, 예산결산특별위원회",부산 남구,남,재선,지역구
107,제22대,박용갑,더불어민주당,"보건복지위원회, 예산결산특별위원회",대전 중구,남,초선,지역구
108,제22대,박은정,조국혁신당,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 법제사법위원회",비례대표,여,초선,비례대표
109,제22대,박정,더불어민주당,기후에너지환경노동위원회,경기 파주시을,남,3선,지역구
110,제22대,박정하,국민의힘,"과학기술정보방송통신위원회, 예산결산특별위원회",강원 원주시갑,남,재선,지역구
111,제22대,박정현,더불어민주당,"기후위기 특별위원회, 국회운영위원회, 외교통일위원회",대전 대덕구,여,초선,지역구
112,제22대,박정훈,국민의힘,교육위원회,서울 송파구갑,남,초선,지역구
113,제22대,박주민,더불어민주당,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 행정안전위원회",서울 은평구갑,남,3선,지역구
114,제22대,박준태,국민의힘,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 정무위원회",비례대표,남,초선,비례대표
115,제22대,박지원,더불어민주당,"법제사법위원회, 정보위원회",전남광주통합특별시 해남군완도군진도군,남,5선,지역구
116,제22대,박지원,더불어민주당,"보건복지위원회, 예산결산특별위원회",전북 군산시김제시부안군을,남,초선,지역구
117,제22대,박지혜,더불어민주당,"기후위기 특별위원회, 기후에너지환경노동위원회, 성평등가족위원회",경기 의정부시갑,여,초선,지역구
118,제22대,박충권,국민의힘,"국회운영위원회, 외교통일위원회",비례대표,남,초선,비례대표
119,제22대,박해철,더불어민주당,기후에너지환경노동위원회,경기 안산시병,남,초선,지역구
120,제22대,박형수,국민의힘,법제사법위원회,경북 의성군청송군영덕군울진군,남,재선,지역구
121,제22대,박홍근,더불어민주당,행정안전위원회,서울 중랑구을,남,4선,지역구
122,제22대,박홍배,더불어민주당,"연금개혁 특별위원회, 정무위원회",비례대표,남,초선,비례대표
123,제22대,박희승,더불어민주당,산업통상자원중소벤처기업위원회,전북 남원시장수군임실군순창군,남,초선,지역구
124,제22대,배준영,국민의힘,"예산결산특별위원회, 재정경제기획위원회",인천 중구강화군옹진군,남,재선,지역구
125,제22대,배현진,국민의힘,문화체육관광위원회,서울 송파구을,여,재선,지역구
126,제22대,백선희,조국혁신당,"보건복지위원회, 예산결산특별위원회",비례대표,여,초선,비례대표
127,제22대,백승아,더불어민주당,교육위원회,비례대표,여,초선,비례대표
128,제22대,백종헌,국민의힘,보건복지위원회,부산 금정구,남,재선,지역구
129,제22대,백혜련,더불어민주당,"산업통상자원중소벤처기업위원회, 성평등가족위원회, 정보위원회",경기 수원시을,여,3선,지역구
130,제22대,복기왕,더불어민주당,국토교통위원회,충남 아산시갑,남,재선,지역구
131,제22대,부승찬,더불어민주당,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국토교통위원회",경기 용인시병,남,초선,지역구
132,제22대,서명옥,국민의힘,행정안전위원회,서울 강남구갑,여,초선,지역구
133,제22대,서미화,더불어민주당,"국회운영위원회, 보건복지위원회",비례대표,여,초선,비례대표
134,제22대,서범수,국민의힘,"기후위기 특별위원회, 제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 교육위원회",울산 울주군,남,재선,지역구
135,제22대,서삼석,더불어민주당,농림축산식품해양수산위원회,전남광주통합특별시 영암군무안군신안군,남,3선,지역구
136,제22대,서영교,더불어민주당,법제사법위원회,서울 중랑구갑,여,4선,지역구
137,제22대,서영석,더불어민주당,보건복지위원회,경기 부천시갑,남,재선,지역구
138,제22대,서왕진,조국혁신당,"기후위기 특별위원회, 기후에너지환경노동위원회",비례대표,남,초선,비례대표
139,제22대,서일준,국민의힘,정무위원회,경남 거제시,남,재선,지역구
140,제22대,서지영,국민의힘,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",부산 동래구,여,초선,지역구
141,제22대,서천호,국민의힘,"과학기술정보방송통신위원회, 정보위원회",경남 사천시남해군하동군,남,초선,지역구
142,제22대,성일종,국민의힘,국방위원회,충남 서산시태안군,남,3선,지역구
143,제22대,소병훈,더불어민주당,보건복지위원회,경기 광주시갑,남,3선,지역구
144,제22대,손명수,더불어민주당,정무위원회,경기 용인시을,남,초선,지역구
145,제22대,손솔,진보당,"법제사법위원회, 성평등가족위원회",비례대표,여,초선,비례대표
146,제22대,송기헌,더불어민주당,과학기술정보방송통신위원회,강원 원주시을,남,3선,지역구
147,제22대,송석준,국민의힘,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 외교통일위원회",경기 이천시,남,3선,지역구
